head_pitch_deg_mean,head_pitch_deg_std,head_yaw_deg_mean,head_yaw_deg_std,left_arm_angle_mean,left_arm_angle_std,right_arm_angle_mean,right_arm_angle_std,torso_pitch_mean,torso_pitch_std,torso_yaw_mean,torso_yaw_std,L_WRIST_accum_dist_avg,R_WRIST_accum_dist_avg,L_SHOULDER_accum_dist_avg,R_SHOULDER_accum_dist_avg,pose_LEFT_SHOULDER_x_peaks_per_s,pose_LEFT_SHOULDER_y_peaks_per_s,pose_LEFT_SHOULDER_z_peaks_per_s,pose_RIGHT_SHOULDER_x_peaks_per_s,pose_RIGHT_SHOULDER_y_peaks_per_s,pose_RIGHT_SHOULDER_z_peaks_per_s,pose_LEFT_ELBOW_x_peaks_per_s,pose_LEFT_ELBOW_y_peaks_per_s,pose_LEFT_ELBOW_z_peaks_per_s,pose_RIGHT_ELBOW_x_peaks_per_s,pose_RIGHT_ELBOW_y_peaks_per_s,pose_RIGHT_ELBOW_z_peaks_per_s,pose_LEFT_WRIST_x_peaks_per_s,pose_LEFT_WRIST_y_peaks_per_s,pose_LEFT_WRIST_z_peaks_per_s,pose_RIGHT_WRIST_x_peaks_per_s,pose_RIGHT_WRIST_y_peaks_per_s,pose_RIGHT_WRIST_z_peaks_per_s,pose_LEFT_HIP_x_peaks_per_s,pose_LEFT_HIP_y_peaks_per_s,pose_LEFT_HIP_z_peaks_per_s,pose_RIGHT_HIP_x_peaks_per_s,pose_RIGHT_HIP_y_peaks_per_s,pose_RIGHT_HIP_z_peaks_per_s,left_hand_WRIST_x_peaks_per_s,left_hand_WRIST_y_peaks_per_s,left_hand_WRIST_z_peaks_per_s,right_hand_WRIST_x_peaks_per_s,right_hand_WRIST_y_peaks_per_s,right_hand_WRIST_z_peaks_per_s,head_pitch_deg_peaks_per_s,head_yaw_deg_peaks_per_s,left_arm_angle_peaks_per_s,right_arm_angle_peaks_per_s,torso_pitch_peaks_per_s,torso_yaw_peaks_per_s,dist_wrist_lr_peaks_per_s,dist_elbows_lr_peaks_per_s,dist_left_wrist_to_left_shoulder_peaks_per_s,dist_right_wrist_to_right_shoulder_peaks_per_s,dist_left_wrist_to_right_shoulder_peaks_per_s,dist_right_wrist_to_left_shoulder_peaks_per_s,label
0.46975568,2.0640817,-0.85661465,-0.10503646,-0.8136301,-0.009271258,-0.61027694,-0.5332194,-0.80183786,-0.106234975,1.53761,-2.768336,0.4276258,0.11046129,-0.43706387,-0.30224606,-0.68759775,1.0102193,-0.8425939,-0.45454314,-0.3806114,-0.7424518,0.8127319,0.13231747,-1.4537843,-0.26450473,-0.97160995,-0.08396469,0.22664966,-1.0643711,-0.5276291,0.75302505,-0.12755774,-1.0526533,2.0528526,0.8816524,-0.42040062,1.2723535,-0.39085925,-0.2279036,-1.2139617,-1.4542768,-0.565173,0.76670367,-0.6037842,-1.1528783,0.15643796,-0.6599483,-0.5112555,-1.1214163,-0.9063916,-0.14115313,-1.0266683,-1.2757357,-1.436098,-1.602577,-1.663169,-0.14838535,0
0.12449227,0.8294474,0.22446425,4.2118483,-0.49070716,-0.33249038,0.028769359,0.101583764,-0.35570496,-0.068448484,-0.17165628,0.1873886,1.9691918,1.4822423,0.16221617,0.30584255,0.46758986,0.40979758,-1.4404972,-0.97311693,-0.20209095,1.1679214,0.33278102,1.526196,-0.8969348,0.01912199,-0.18932064,-0.3457493,0.13078848,0.1232854,-0.6193032,-0.07930969,-0.21144278,0.35753438,0.49154523,0.2707312,-1.2699499,0.48899665,0.21012299,-1.236489,-0.09480204,-0.7273514,-1.2992595,-1.7773101,-0.81680226,-0.5648634,-0.15314288,0.3301384,0.11064319,-1.1136589,-0.6262348,-1.7395496,-1.4662422,0.43567094,-0.65910685,-0.7091449,-0.5827979,-0.4992814,1
-0.20052537,0.848108,0.75300324,2.6667912,-0.5045336,0.36955824,-0.92244893,0.72907674,-0.2802265,-0.4598649,-0.6898225,0.42917556,1.5687507,0.77604705,0.7290023,0.45727697,0.51059574,1.4611311,0.044517856,-0.067953594,1.8089339,-0.43376192,1.327655,3.2614229,-0.34448552,0.20557992,0.76507705,-0.20698911,0.5284019,0.6767078,-0.48463207,1.8334469,1.4408506,-0.9351647,0.6534632,1.9138805,-0.19107912,0.04350269,1.5632491,-0.17203368,-0.6112967,-0.74992144,-1.4876225,0.5528907,0.6292051,-1.2671096,-1.327318,-0.28336012,0.6142209,0.6481566,-0.49559054,-1.0975904,-0.011964808,-0.3213542,-0.40983722,0.16952612,-0.2667566,0.71246874,1
0.12887117,-0.6710235,-0.6091831,-0.7443387,-0.87981004,0.40750623,0.8011517,-0.13488126,-0.59163123,-0.039376274,0.9723427,-0.5737189,1.9197232,2.3176475,0.35318875,0.50156885,0.0060146116,-0.12722728,0.39742276,0.43976715,0.26328692,0.20475325,0.21723074,0.55713713,-0.44496995,-0.54558575,-0.24823433,-0.43982777,-0.26066133,0.050682817,-0.9370478,0.8893774,-0.34857568,-0.392505,0.85317385,0.9428315,-1.2388784,1.6064895,0.7571429,-1.324624,0.12132423,-0.5280161,1.7134812,-0.13379619,-0.81680226,-1.4392402,0.59989434,1.6890346,0.2077636,0.23529182,-0.22526765,-0.033846952,-1.0805804,0.52239853,-0.9407937,-1.1555076,-0.82893205,-0.36725438,2
1.8773607,1.9206628,2.4573498,0.86885667,-1.7746508,-1.7705209,-0.90081525,-1.0717262,-0.75820506,1.3117868,-2.0511513,-1.0101401,-1.5537462,-1.6871696,-1.3346217,-1.2034075,0.43380448,1.6469827,-0.26969495,-1.07336,-1.7280542,0.8635562,1.026811,1.3946391,1.1226842,1.142284,-0.9398575,1.4888998,0.6511781,1.487479,1.3561566,0.12950185,-0.19929391,2.4806654,-0.06527617,-0.96008056,0.13222317,0.74931204,-1.2188783,0.14694878,0.7315672,0.28494942,0.24559169,2.3267298,-0.17774767,0.4787596,0.7861465,0.0030990758,1.0002058,1.3245292,-0.049383163,-0.43902752,0.2594551,1.7158324,0.81199634,-0.02585366,0.6067543,-0.64565575,0
1.9083855,2.3477523,-1.3805429,0.7033925,-0.7801231,-0.09442978,-0.69289696,-0.23769847,-1.5633284,0.043742515,1.5886353,-3.0820968,-0.79699117,-0.84897,-1.0072025,-0.82538307,-0.3194929,-0.3402562,-0.7665832,-0.42356402,-1.3066368,-0.6252939,-0.23335081,-0.29575673,-0.38906047,0.38620356,1.6432134,0.45073885,1.0716887,-1.4896634,-0.25201783,0.37982234,0.27185693,0.73982394,0.6284896,-1.035061,-0.47052047,-0.7229356,-0.22434132,-0.022041246,0.39064893,0.29824334,-0.3268494,0.18624195,0.8463533,-0.26821625,1.3605392,1.9009517,0.02052396,0.7949923,-0.8378387,-0.033091225,0.16826479,-1.3678945,-0.4240001,-0.6405219,-0.32502392,1.9850128,0
-0.9856598,-0.2580184,0.018628946,-0.5557969,0.42445722,1.0106491,0.1560915,0.20170717,-0.14766745,0.9504041,0.20176008,0.5115384,-0.29250467,-0.8913566,-0.9112119,-0.94591105,0.65429884,2.1739976,0.7321822,0.1816712,0.762761,-1.0896155,0.8288281,1.2347493,-0.2720953,-0.2214571,0.015582441,-0.5205223,0.39582267,-0.4876099,1.1451651,-0.35609084,0.71655685,2.2383163,0.39618298,-0.40513113,-0.67489886,1.780788,1.0799648,-0.6493888,-1.556069,-1.772397,0.08044661,-0.3764438,-0.44682327,-0.22511381,-1.599024,0.29932332,-0.0671169,-0.64925414,0.44217712,-0.27467108,-0.31062052,0.0035533663,-1.4868071,0.59684974,-1.2044909,0.39375108,1
0.5984541,-0.99732983,-0.6166591,-0.4417727,1.7157134,1.5459967,0.45929286,1.2809728,-0.5239076,0.36910397,0.8383785,-0.039867032,0.19196467,-0.2740962,-0.3857197,-0.51188403,0.31743264,0.6183654,-0.6572448,-0.33346993,0.29310974,-1.0937663,-1.4029846,-0.37746602,0.023391306,-0.2972207,-0.3048072,-0.3516872,-0.3110863,0.39602515,0.44674277,-0.3791619,0.08765133,-0.8002736,-0.4914851,0.6036552,-0.4549396,0.5376049,0.16115415,-0.24494289,-0.71973485,-0.6264718,-1.3145157,1.4827813,0.7453319,-0.5920025,0.7255973,-0.5957825,0.36785963,0.7611372,-0.4931911,-0.75981534,0.34111366,-1.4510224,-0.6439124,-1.1876501,-1.0754209,0.3903238,1
1.2149271,0.8940523,-1.3112648,0.79523206,1.4847021,2.0487382,0.9340864,1.6622874,-0.0054347343,0.14850421,0.7060338,-0.108411446,-0.6391195,0.3137804,0.08746263,0.3116932,0.50963056,1.2839413,0.67542946,-0.044879593,2.2236888,-0.30188972,-0.08329968,0.094970815,0.5910683,-0.20603038,-1.1993369,-0.18012112,-0.728059,1.5016692,0.41441092,-0.24113743,1.0052906,-0.45392373,0.9529967,1.1796191,-0.1781592,1.169233,0.339746,-0.1592864,-0.30310443,0.2604321,-0.87367034,0.44789454,1.1871115,-0.721435,-0.30932245,-0.47654817,-0.397502,-0.41321245,0.80402464,-0.8943933,0.37972575,-0.5640114,0.73933643,0.34063405,0.6304147,0.54914224,1
0.45447412,0.5057231,-1.3230861,1.191681,1.3350077,1.6456575,1.450108,2.5192502,0.62950355,-0.42619443,1.0962393,-0.78353876,-0.59320146,-0.3820535,-0.76297575,-0.6341949,0.5897925,0.9880738,-1.0397749,0.192324,0.14669293,-1.986468,0.17277278,-0.20986234,-0.044949017,-0.1670528,-0.20819874,-2.5173135,0.96731603,-0.17962958,1.5489578,-1.1356984,-0.5587384,-1.0449817,1.3493748,0.8964403,0.8950212,0.82323736,0.83135074,1.0790054,-0.66648954,-0.9943852,-1.5100192,0.14503273,0.5292921,-0.15344569,0.41666967,0.13757433,-0.35046154,-1.7602396,-1.8506632,-0.44341478,-0.3946832,1.0788317,-1.1901064,-0.26509884,-0.816907,-0.9286764,1
